ID::ID!!I,Index::Index!!I,Area::Area!!R,ImageDocumentName::Image Name,IntensityMean_Ch1-T1::Intensity Mean Value of channel 'Ch1-T1'!!R,IntensityMean_Ch1-T2::Intensity Mean Value of channel 'Ch1-T2'!!R,IntensityMean_Ch2-T2::Intensity Mean Value of channel 'Ch2-T2'!!R,IntensitySum0_Ch2-T2::Pixel Count of channel 'Ch2-T2'!!R
,,nm²,,Gray,Gray,Gray,pixel²
2,1,216450519.63091,"cell_30-Create Image Subset.czi",8366.6007222661,15.788624308769,1803.6027536395,8861
2,1,55010334.071642,"cell_31-Create Image Subset.czi",8856.0253108348,138.08525754885,2131.174955595,2252
3,2,206239898.12028,"cell_31-Create Image Subset.czi",8121.0459552292,248.65190098306,1791.3900272415,8443
2,1,63217914.998849,"cell_32-Create Image Subset.czi",9512.5738021638,201.66460587326,1457.7063369397,2588
2,1,320633057.29324,"cell_33-Create Image Subset.czi",10741.810604906,28.510742038702,1779.1314947433,13126
3,2,80536887.848225,"cell_33-Create Image Subset.czi",6190.101607522,13.880194115863,1769.8865635426,3297
4,3,18418202.437841,"cell_33-Create Image Subset.czi",7044.4721485411,77.228116710875,1741.1140583554,754
2,1,38570744.893038,"cell_34-Create Image Subset.czi",6708.3362887904,23.260924635846,1591.2951234959,1579
2,1,17441109.470316,"cell_35-Create Image Subset.czi",6939.2212885154,10.75350140056,1719.893557423,714
3,2,293176744.90579,"cell_35-Create Image Subset.czi",7486.2542909515,260.78503582736,1714.589151808,12002
2,1,41819579.010058,"cell_36-Create Image Subset.czi",7724.6337616822,3.2657710280374,2102.3732476636,1712
3,2,118814504.85101,"cell_36-Create Image Subset.czi",7298.9401726974,1.8725328947368,1755.0493421053,4864
4,3,84811669.581145,"cell_36-Create Image Subset.czi",7454.8945852535,7.7258064516129,1879.1935483871,3472
2,1,347967233.05974,"cell_37-Create Image Subset.czi",11088.441909442,320.46626886627,1934.1608985609,14245
2,1,52274473.762572,"cell_39-Create Image Subset.czi",9575.4214953271,50.661682242991,1786.5598130841,2140
3,2,24647170.105811,"cell_39-Create Image Subset.czi",6187.4876114965,55.966303270565,2030.1565906839,1009
