ID::ID!!I,Index::Index!!I,Area::Area!!R,ImageDocumentName::Image Name,IntensityMean_Ch1-T1::Intensity Mean Value of channel 'Ch1-T1'!!R,IntensityMean_Ch1-T2::Intensity Mean Value of channel 'Ch1-T2'!!R,IntensityMean_Ch2-T2::Intensity Mean Value of channel 'Ch2-T2'!!R,IntensitySum0_Ch2-T2::Pixel Count of channel 'Ch2-T2'!!R
,,nm²,,Gray,Gray,Gray,pixel²
8,1,143950221.44058,"cell_30-Create Image Subset.czi",5343.0751739352,7084.9560495503,5520.0897675208,5893
9,2,17856373.981514,"cell_30-Create Image Subset.czi",6359.1518467852,5370.9001367989,3969.8358413133,731
10,1,170038603.67349,"cell_31-Create Image Subset.czi",6741.1883350093,7453.1989656659,5292.5519321937,6961
6,1,136157905.02457,"cell_32-Create Image Subset.czi",7665.8064226767,11381.78812343,4981.5577682095,5574
9,1,181983565.20148,"cell_33-Create Image Subset.czi",8281.0770469799,9517.8324832215,6414.8361073826,7450
10,2,35175346.83089,"cell_33-Create Image Subset.czi",4695.5326388889,9018.0680555556,4466.4354166667,1440
9,1,111584016.89132,"cell_34-Create Image Subset.czi",3574.4391418564,4601.4222854641,5955.0845008757,4568
12,1,191583503.60741,"cell_35-Create Image Subset.czi",6516.6465638149,9009.6038505674,5115.5921203621,7843
14,1,171113405.93777,"cell_36-Create Image Subset.czi",6227.3277658815,9381.0538187009,5027.4035688794,7005
15,2,184597288.88961,"cell_36-Create Image Subset.czi",4148.0546513167,8229.3893079264,5295.9288077279,7557
6,1,181690437.31122,"cell_37-Create Image Subset.czi",7562.0974724388,12793.621538048,7868.0873890831,7438
5,1,54033241.104117,"cell_38-Create Image Subset.czi",3032.3336347197,5006.1369801085,5444.5569620253,2212
15,1,251894567.02787,"cell_39-Create Image Subset.czi",7183.144685803,9706.907098526,6222.0480993018,10312
16,2,58674432.699859,"cell_39-Create Image Subset.czi",6247.6053288926,8986.9841798501,4825.2897585346,2402
12,1,81391844.194809,"cell_40-Create Image Subset.czi",5002.6398559424,13655.849039616,4827.7887154862,3332
13,2,171284397.20708,"cell_40-Create Image Subset.czi",8189.0268111808,12089.374786081,5605.4363947519,7012
14,3,72549152.83871,"cell_40-Create Image Subset.czi",8205.6367003367,10802.585858586,6714.8013468014,2970
